Data;Campeonato;Estadio;Mandante;Visitante;GOLS_H;GOLS_A;Goleiro;Jog1;Jog2;Jog3;Jog4;Jog5;Jog6;Jog7;Jog8;Jog9;Jog10;Jog11;Jog12;Jog13;Jog14;Jog15;Jog16;Jog17;Jog18;Jog19;Jog20;Jog21;Jog22;Jog23;Jog24;LINK
23/09/1917; Campeonato Paulista;Vila Belmiro; Santos; Palestra Italia;0;2; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170923-santos-x-palestra-italia-campeonato-paulista-1917/
07/10/1917; Amistoso;Floresta; S.C.Internacional (SP); Palestra Italia;2;2; Flosi; Grimaldi; Bianco Gambini; Bertolini; Polatti; Pedretti; Forte; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19171007-s-c-internacional-sp-x-palestra-italia-amistoso-1917/
01/11/1917; Amistoso;Floresta; A.A.das Palmeiras; Palestra Italia;0;4; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19171101-a-a-das-palmeiras-x-palestra-italia-amistoso-1917/
04/11/1917; Campeonato Paulista;Palestra Italia; Palestra Italia; Mackenzie;1;1; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19171104-palestra-italia-x-mackenzie-campeonato-paulista-1917/
15/11/1917; Amistoso;Floresta; Seleção de São Paulo; Palestra Italia;7;0; Flosi; Arioni; Grimaldi; Polatti; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19171115-selecao-de-sao-paulo-x-palestra-italia-amistoso-1917/
25/11/1917; Campeonato Paulista;Floresta; Palestra Italia; Ypiranga;6;1; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19171125-palestra-italia-x-ypiranga-campeonato-paulista-1917/
09/12/1917; Amistoso;Floresta; Palestra Italia; Caçapavense;6;3; Flosi; Bianco Gambini; Grimaldi; Fabbi; Picagli; Bertolini; Caetano; Ministro; Heitor; Arioni; Taurisano; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19171209-palestra-italia-x-cacapavense-amistoso-1917/
13/01/1918; Taça Jornal do Comércio;Figueira de Melo; São Cristóvão; Palestra Italia;4;3; Flosi; Bianco Gambini; Arioni; Grimaldi; Fabbi; Picagli; Bertolini; Caetano; Ministro; Heitor; Ernesto Imparato; Taurisano; Ardélio Guidi;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180113-sao-cristovao-x-palestra-italia-taca-jornal-do-comercio-1918/
20/01/1918; Taça Jornal do Comércio;Floresta; Palestra Italia; São Cristóvão;4;1; Flosi; Bianco Gambini; Grimaldi; Bertolini; Picagli; Fabbi; Caetano; Ministro; Ernesto Imparato; Heitor; Taurisano; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180120-palestra-italia-x-sao-cristovao-taca-jornal-do-comercio-1918/
17/03/1918; Torneio de Inauguração do Campo da Ponte Grande;Ponte Grande; Corinthians; Palestra Italia;3;3; Flosi; Bianco Gambini; Grimaldi; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Ernesto Imparato; Amoroso; Adolfo Gambini;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180317-sccp-x-palestra-italia-torneio-de-inauguracao-do-campo-da-ponte-grande-1918/
